State,Company,CIQID,Year,EBITDA,YearRev,Year2Rev,Year3Rev,YearOpExp,Year2OpExp,Year3OpExp,YearCapex,Year2Capex,Year3Capex,YearDiv,Year2Div,Year3Div,YearROE,Year2ROE,Year3ROE,YearDebt_EBITDA,Year2Debt_EBITDA,Year3Debt_EBITDA,YearFFO_Debt,Year2FFO_Debt,Year3FFO_Debt
AR,"Dillard's, Inc.",IQ266847,2015,722.5725,6764.529,6674.577,6730.295,5963.228,5882.584,5953.472,150.188,94.923,136.632,10.367,614.785,614.785,16.54522,16.33723,16.70541,0.89485,1.05269,1.16892,74.33437,65.66465,55.50865
GA,"Asbury Automotive Group, Inc.",IQ25109,2015,356.3,5867.7,5334.9,4640.3,5572.2,5084.5,4431.8,57.5,49.9,56.4,0,543.4,461.7,23.94442,22.63264,22.84069,2.69412,2.64737,2.8554,25.14166,23.80671,21.62161
MD,"Discovery Communications, Inc.",IQ22666093,2015,2528.5,6265,5535,4487,3875,3261,2509,120,115,481,0,6482,5133,19.30999,17.21929,14.7564,2.9631,2.63045,2.13618,18.76587,25.07867,28.32281
TX,"iHeartMedia, Inc.",IQ92768,2015,2737.8275,6318.533,6243.044,6246.884,4501.873,4494.464,4409.898,318.164,324.526,390.28,0,20030.479,20365.369,8.43014,7.16621,5.48879,8.96321,9.12371,9.0614,2.98359,3.02757,3.80487
NC,Hanesbrands Inc.,IQ4212820,2015,829.765,5324.746,4627.802,4525.721,4662.59,4021.7404,3992.57,62.956,42.697,39.839,119.607,1467,1317.5,30.91005,31.21565,29.64972,3.12322,2.87226,3.20925,22.69894,25.15447,19.82954
OH,Dana Incorporated,IQ174336,2015,643.5,6617,6769,7224,5933,6099,6497,234,209,164,40,1567,803,30.83451,24.41861,23.59649,1.70717,2.99756,2.05604,37.89554,22.07482,28.09898
CA,"Mattel, Inc.",IQ31197,2015,1054.7415,6023.819,6484.892,6420.881,5121.404,5106.396,5087.784,260.457,252.054,219.048,514.813,1600,1100,16.09108,28.61235,27.35182,2.16969,1.25969,1.22039,37.74508,64.05405,62.71575
VA,"NVR, Inc.",IQ182505,2015,744.878,4444.568,4211.267,3184.65,3958.839,3766.436,2902.498,29.818,16.353,11.472,0,602.44,603.562,23.61076,19.4379,12.64943,0.47319,0.07714,0,138.24389,813.22656,NM
NJ,"Burlington Stores, Inc.",IQ242224249,2015,772.6765,4849.634,4461.987,4165.504,4427.1,4123.36,3846.981,220.98,168.267,166.721,0,1335.532,1605.464,-60.95121,-13.99862,-26.46354,4.0562,4.75221,4.75366,15.65939,12.07474,13.26525
WI,"Harley-Davidson, Inc.",IQ277444,2015,1299.076,5566.163,5258.29,4942.582,4603.749,4413.607,4215.362,224.262,199.354,180.416,238.3,0,303,28.54008,26.36891,25.0679,0,0.04926,0.40735,NM,1064.21931,134.80134
OH,"Big Lots, Inc.",IQ26949,2015,644.113,5177.078,5301.912,5367.165,4829.356,4987.751,4961.997,93.46,104.786,131.273,27.828,171.2,65.9,16.16356,15.03631,22.38166,1.40259,1.51526,1.52527,57.40645,48.51593,49.55936
PA,"Toll Brothers, Inc.",IQ308806,2015,748.039,3911.602,2674.299,1882.781,3491.354,2448.022,1796.766,-148.741,-107.631,-113.863,0,2428.664,2180.28,9.46194,5.28627,17.06873,4.35266,4.68461,6.00268,13.22679,13.16466,9.40116
NJ,Wyndham Worldwide Corporation,IQ31063165,2015,1120.75,4854,4583,4113,4072,3875,3489,249,298,217,179,4621,4021,36.76164,24.31748,19.22153,2.88432,3.28506,3.17973,25.21347,23.13562,23.5191
NC,"American Tire Distributors, Inc.",IQ22353812,2015,324.299,5030.698,3839.269,3455.864,4878.552,3664.657,3309.908,70.371,47.127,52.388,0,930.012,939.719,-14.3191,-0.90903,-2.10742,8.97268,5.22617,5.91562,4.39716,10.32704,9.02357
TX,"The Michaels Companies, Inc.",IQ253239221,2015,1245.972,4738,4570,4408,4000,3853,3711,138,112,124,1,2891,3363,-10.55448,-12.26481,-8.32466,5.15331,5.99058,5.46642,10.6694,8.30072,8.73505
WI,"Spectrum Brands, Inc.",IQ182851961,2015,734.251,4429.109,4085.581,3252.435,3789.546,3592.814,2841.763,73.347,81.976,46.809,61.904,0,0,22.20734,-5.04632,5.32795,4.41484,5.98688,4.01271,14.10853,4.11757,11.98783
TX,"Neiman Marcus Group, Inc.",IQ291286,2015,770.779,4894.656,4701.622,4396.945,4545.77,4066.284,3813.129,173.196,146.268,151.758,0,2697.077,2781.882,-13.00397,22.63254,17.40372,7.53353,4.80556,5.35572,6.49729,10.10242,8.88889
NY,Sirius XM Radio Inc.,IQ248607529,2015,1597.0785,4181.095,3799.095,3402.04,2795.002,2501.228,2263.72,121.166,147.172,65.311,0,0,0,24.32407,11.11859,146.4135,3.13791,2.69273,1.87836,25.95302,30.85232,39.69054
FL,NCL Corporation Ltd.,IQ234093043,2015,1219.967,3125.881,2570.294,2276.246,2349.793,1955.924,1729.615,1029.974,868.551,281.74,0,0,0,11.0014,5.15218,8.72613,7.61842,5.06386,5.79719,10.27288,10.34318,10.601
MD,"Under Armour, Inc.",IQ8740684,2015,640.399,3084.37,2332.051,0,2658.322,2016.404,0,140.128,87.43,0,0,47.951,52.857,17.31048,17.35894,0,0.17747,0.20717,0,373.71525,318.01154,0
CA,Levi Strauss & Co.,IQ30773,2015,716.2205,4753.992,4681.691,4610.193,4330.667,4100.464,4134.806,72.491,90.57,82.827,30.003,1504.016,1669.452,58.37555,412.39564,-111.67264,2.84428,2.56749,3.80425,21.38186,26.14607,16.00479
NY,"Coach, Inc.",IQ526573,2015,1132.9095,4806.226,5075.39,4763.18,3365.292,3334.662,3118.282,219.587,241.353,184.309,376.498,0.485,0.985,32.35472,46.99678,57.62918,0.36868,0.129,0.20001,205.1948,567.88369,371.18258
RI,"Hasbro, Inc.",IQ277746,2015,980.1585,4277.207,4082.157,4088.983,3436.78,3390.489,3353.581,113.388,112.031,112.091,216.855,959.895,1396.421,26.42497,17.94501,22.97512,2.0025,1.86696,2.04468,36.43283,39.21336,34.26587
IL,Brunswick Corporation,IQ171649,2015,548.25,3838.7,0,3717.6,3429,0,3352.2,123.6,0,114.7,41.7,453.4,557.2,17.63881,0,271.45488,1.71668,0,2.50785,43.96812,0,23.39068
FL,"Bloomin' Brands, Inc.",IQ128530849,2015,615.2335,4442.711,4129.23,3987.795,4028.835,3716.941,3638.171,237.868,237.214,178.72,0,1405.597,1471.449,17.61795,59.28663,38.36516,3.58422,3.61628,3.75371,20.72362,20.00232,19.93413
CA,"CalAtlantic Group, Inc.",IQ188653,2015,608.7895,2435.297,1939.519,1258.258,2079.111,1686.687,1174.073,0,0,0,0,1834.624,1542.018,13.7247,13.85182,56.54738,4.14483,4.19621,6.69358,10.02588,15.72365,4.17845
NC,Belk Inc.,IQ160197,2015,0,4109.561,4038.118,3956.866,3672.29,3606.614,3494.575,230.124,222.228,181.073,32.964,375,415.515,10.73989,12.09776,15.07653,1.26662,1.13905,1.1942,58.17138,66.80161,61.37782
NV,"Wynn Resorts, Limited",IQ3449701,2015,1122.593,5433.661,5620.936,5154.284,3853.264,3959.792,3751.809,1312.44,496.286,238.985,942.928,6586.518,5785.708,1412.64821,616.7621,43.14162,3.22555,2.5678,3.00052,24.77713,32.2391,26.80442
NY,Tiffany & Co.,IQ35576,2015,1281.4455,4249.913,4031.13,3794.249,3164.326,3546.172,2933.383,247.394,221.452,219.53,191.171,765.238,538.352,17.43063,6.81945,16.82246,1.72328,1.70885,1.94003,42.807,38.63561,33.11654
MI,"American Axle & Manufacturing Holdings, Inc.",IQ24704,2015,594.95,3696,3207.3,2930.9,3228.9,2790,2622.3,200.7,245.3,199.4,0,1553.8,1448.5,194.55782,-216.74312,-136.08438,3.36602,3.9585,5.09141,20.45796,16.93834,7.21658
TX,"Sally Beauty Holdings, Inc.",IQ30177530,2015,770.8195,3753.498,3622.216,3523.644,3166.839,3029.662,2959.591,76.814,84.879,69.086,0,1612.685,1615.322,-75.62826,-124.78426,-139.53129,2.99038,2.86085,2.62492,20.66158,22.13889,24.86826
MO,"Leggett & Platt, Incorporated",IQ30760,2015,680.7,3782.3,3746,3720.8,3352.4,3279.5,3261.7,93.6,80.1,70.4,167.5,688.4,853.9,17.49547,13.43921,17.87701,1.85272,1.53186,1.83016,41.36056,48.46948,41.79276
NY,"Nine West Holdings, Inc.",IQ315884,2015,0,0,3764.9,3798.1,0,3573.8,3558.6,0,58.7,76.5,0,675,934.4,0,-1.99095,-5.35535,0,4.44225,3.95994,0,15.2651,17.43314
MI,Cooper-Standard Holdings Inc.,IQ4235187,2015,351.823,3243.987,3090.542,2880.902,2956.662,2837.373,2644.77,192.089,183.336,131.067,0,656.095,450.809,7.34854,6.98697,15.61075,3.36575,3.36543,2.87325,20.57043,19.7493,24.24143
